Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
01/02/2026,21:00,,帅气Lee,南航小蜘蛛,,#1,,
01/02/2026,21:00,,克里文森蓝水泉,恶灵骑士,,#1,,
01/02/2026,21:00,,拜二慕尼黑,西红柿马铃薯,,#1,,
01/02/2026,21:00,,我也没意见,拉斐尔喜悦,,#1,,
01/02/2026,21:00,,医药代表,香港秦始皇,,#1,,
01/02/2026,21:00,,皇家老司机,学术废物,,#1,,
08/02/2026,21:00,,拉斐尔喜悦,帅气Lee,,#1,,
08/02/2026,21:00,,香港秦始皇,西红柿马铃薯,,#1,,
08/02/2026,21:00,,学术废物,恶灵骑士,,#1,,
08/02/2026,21:00,,皇家老司机,南航小蜘蛛,,#1,,
08/02/2026,21:00,,医药代表,克里文森蓝水泉,,#1,,
08/02/2026,21:00,,我也没意见,拜二慕尼黑,,#1,,
15/02/2026,21:00,,恶灵骑士,帅气Lee,,#1,,
15/02/2026,21:00,,西红柿马铃薯,南航小蜘蛛,,#1,,
15/02/2026,21:00,,拉斐尔喜悦,克里文森蓝水泉,,#1,,
15/02/2026,21:00,,香港秦始皇,拜二慕尼黑,,#1,,
15/02/2026,21:00,,学术废物,我也没意见,,#1,,
15/02/2026,21:00,,皇家老司机,医药代表,,#1,,
22/02/2026,21:00,,香港秦始皇,帅气Lee,,#1,,
22/02/2026,21:00,,学术废物,拉斐尔喜悦,,#1,,
22/02/2026,21:00,,皇家老司机,西红柿马铃薯,,#1,,
22/02/2026,21:00,,医药代表,恶灵骑士,,#1,,
22/02/2026,21:00,,我也没意见,南航小蜘蛛,,#1,,
22/02/2026,21:00,,拜二慕尼黑,克里文森蓝水泉,,#1,,
01/03/2026,21:00,,克里文森蓝水泉,帅气Lee,,#1,,
01/03/2026,21:00,,南航小蜘蛛,拜二慕尼黑,,#1,,
01/03/2026,21:00,,恶灵骑士,我也没意见,,#1,,
01/03/2026,21:00,,西红柿马铃薯,医药代表,,#1,,
01/03/2026,21:00,,拉斐尔喜悦,皇家老司机,,#1,,
01/03/2026,21:00,,香港秦始皇,学术废物,,#1,,
08/03/2026,21:00,,我也没意见,帅气Lee,,#1,,
08/03/2026,21:00,,拜二慕尼黑,医药代表,,#1,,
08/03/2026,21:00,,克里文森蓝水泉,皇家老司机,,#1,,
08/03/2026,21:00,,南航小蜘蛛,学术废物,,#1,,
08/03/2026,21:00,,恶灵骑士,香港秦始皇,,#1,,
08/03/2026,21:00,,西红柿马铃薯,拉斐尔喜悦,,#1,,
15/03/2026,21:00,,帅气Lee,医药代表,,#1,,
15/03/2026,21:00,,皇家老司机,我也没意见,,#1,,
15/03/2026,21:00,,学术废物,拜二慕尼黑,,#1,,
15/03/2026,21:00,,香港秦始皇,克里文森蓝水泉,,#1,,
15/03/2026,21:00,,拉斐尔喜悦,南航小蜘蛛,,#1,,
15/03/2026,21:00,,西红柿马铃薯,恶灵骑士,,#1,,
22/03/2026,21:00,,帅气Lee,拜二慕尼黑,,#1,,
22/03/2026,21:00,,我也没意见,克里文森蓝水泉,,#1,,
22/03/2026,21:00,,医药代表,南航小蜘蛛,,#1,,
22/03/2026,21:00,,皇家老司机,恶灵骑士,,#1,,
22/03/2026,21:00,,学术废物,西红柿马铃薯,,#1,,
22/03/2026,21:00,,香港秦始皇,拉斐尔喜悦,,#1,,
29/03/2026,21:00,,皇家老司机,帅气Lee,,#1,,
29/03/2026,21:00,,医药代表,学术废物,,#1,,
29/03/2026,21:00,,我也没意见,香港秦始皇,,#1,,
29/03/2026,21:00,,拜二慕尼黑,拉斐尔喜悦,,#1,,
29/03/2026,21:00,,克里文森蓝水泉,西红柿马铃薯,,#1,,
29/03/2026,21:00,,南航小蜘蛛,恶灵骑士,,#1,,
05/04/2026,21:00,,帅气Lee,西红柿马铃薯,,#1,,
05/04/2026,21:00,,恶灵骑士,拉斐尔喜悦,,#1,,
05/04/2026,21:00,,南航小蜘蛛,香港秦始皇,,#1,,
05/04/2026,21:00,,克里文森蓝水泉,学术废物,,#1,,
05/04/2026,21:00,,拜二慕尼黑,皇家老司机,,#1,,
05/04/2026,21:00,,我也没意见,医药代表,,#1,,
12/04/2026,21:00,,帅气Lee,学术废物,,#1,,
12/04/2026,21:00,,香港秦始皇,皇家老司机,,#1,,
12/04/2026,21:00,,拉斐尔喜悦,医药代表,,#1,,
12/04/2026,21:00,,西红柿马铃薯,我也没意见,,#1,,
12/04/2026,21:00,,恶灵骑士,拜二慕尼黑,,#1,,
12/04/2026,21:00,,南航小蜘蛛,克里文森蓝水泉,,#1,,
19/04/2026,21:00,,帅气Lee,克里文森蓝水泉,,#1,,
19/04/2026,21:00,,拜二慕尼黑,南航小蜘蛛,,#1,,
19/04/2026,21:00,,我也没意见,恶灵骑士,,#1,,
19/04/2026,21:00,,医药代表,西红柿马铃薯,,#1,,
19/04/2026,21:00,,皇家老司机,拉斐尔喜悦,,#1,,
19/04/2026,21:00,,学术废物,香港秦始皇,,#1,,
26/04/2026,21:00,,拜二慕尼黑,帅气Lee,,#1,,
26/04/2026,21:00,,克里文森蓝水泉,我也没意见,,#1,,
26/04/2026,21:00,,南航小蜘蛛,医药代表,,#1,,
26/04/2026,21:00,,恶灵骑士,皇家老司机,,#1,,
26/04/2026,21:00,,西红柿马铃薯,学术废物,,#1,,
26/04/2026,21:00,,拉斐尔喜悦,香港秦始皇,,#1,,
03/05/2026,21:00,,南航小蜘蛛,帅气Lee,,#1,,
03/05/2026,21:00,,恶灵骑士,克里文森蓝水泉,,#1,,
03/05/2026,21:00,,西红柿马铃薯,拜二慕尼黑,,#1,,
03/05/2026,21:00,,拉斐尔喜悦,我也没意见,,#1,,
03/05/2026,21:00,,香港秦始皇,医药代表,,#1,,
03/05/2026,21:00,,学术废物,皇家老司机,,#1,,
10/05/2026,21:00,,帅气Lee,我也没意见,,#1,,
10/05/2026,21:00,,医药代表,拜二慕尼黑,,#1,,
10/05/2026,21:00,,皇家老司机,克里文森蓝水泉,,#1,,
10/05/2026,21:00,,学术废物,南航小蜘蛛,,#1,,
10/05/2026,21:00,,香港秦始皇,恶灵骑士,,#1,,
10/05/2026,21:00,,拉斐尔喜悦,西红柿马铃薯,,#1,,
17/05/2026,21:00,,帅气Lee,皇家老司机,,#1,,
17/05/2026,21:00,,学术废物,医药代表,,#1,,
17/05/2026,21:00,,香港秦始皇,我也没意见,,#1,,
17/05/2026,21:00,,拉斐尔喜悦,拜二慕尼黑,,#1,,
17/05/2026,21:00,,西红柿马铃薯,克里文森蓝水泉,,#1,,
17/05/2026,21:00,,恶灵骑士,南航小蜘蛛,,#1,,
24/05/2026,21:00,,帅气Lee,香港秦始皇,,#1,,
24/05/2026,21:00,,拉斐尔喜悦,学术废物,,#1,,
24/05/2026,21:00,,西红柿马铃薯,皇家老司机,,#1,,
24/05/2026,21:00,,恶灵骑士,医药代表,,#1,,
24/05/2026,21:00,,南航小蜘蛛,我也没意见,,#1,,
24/05/2026,21:00,,克里文森蓝水泉,拜二慕尼黑,,#1,,
31/05/2026,21:00,,学术废物,帅气Lee,,#1,,
31/05/2026,21:00,,皇家老司机,香港秦始皇,,#1,,
31/05/2026,21:00,,医药代表,拉斐尔喜悦,,#1,,
31/05/2026,21:00,,我也没意见,西红柿马铃薯,,#1,,
31/05/2026,21:00,,拜二慕尼黑,恶灵骑士,,#1,,
31/05/2026,21:00,,克里文森蓝水泉,南航小蜘蛛,,#1,,
07/06/2026,21:00,,医药代表,帅气Lee,,#1,,
07/06/2026,21:00,,我也没意见,皇家老司机,,#1,,
07/06/2026,21:00,,拜二慕尼黑,学术废物,,#1,,
07/06/2026,21:00,,克里文森蓝水泉,香港秦始皇,,#1,,
07/06/2026,21:00,,南航小蜘蛛,拉斐尔喜悦,,#1,,
07/06/2026,21:00,,恶灵骑士,西红柿马铃薯,,#1,,
14/06/2026,21:00,,帅气Lee,拉斐尔喜悦,,#1,,
14/06/2026,21:00,,西红柿马铃薯,香港秦始皇,,#1,,
14/06/2026,21:00,,恶灵骑士,学术废物,,#1,,
14/06/2026,21:00,,南航小蜘蛛,皇家老司机,,#1,,
14/06/2026,21:00,,克里文森蓝水泉,医药代表,,#1,,
14/06/2026,21:00,,拜二慕尼黑,我也没意见,,#1,,
21/06/2026,21:00,,西红柿马铃薯,帅气Lee,,#1,,
21/06/2026,21:00,,拉斐尔喜悦,恶灵骑士,,#1,,
21/06/2026,21:00,,香港秦始皇,南航小蜘蛛,,#1,,
21/06/2026,21:00,,学术废物,克里文森蓝水泉,,#1,,
21/06/2026,21:00,,皇家老司机,拜二慕尼黑,,#1,,
21/06/2026,21:00,,医药代表,我也没意见,,#1,,
28/06/2026,21:00,,帅气Lee,恶灵骑士,,#1,,
28/06/2026,21:00,,南航小蜘蛛,西红柿马铃薯,,#1,,
28/06/2026,21:00,,克里文森蓝水泉,拉斐尔喜悦,,#1,,
28/06/2026,21:00,,拜二慕尼黑,香港秦始皇,,#1,,
28/06/2026,21:00,,我也没意见,学术废物,,#1,,
28/06/2026,21:00,,医药代表,皇家老司机,,#1,,
